"filename", "language", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"e:\dev\ljs_p1\004_001.js", "JavaScript", 0, 27, 0, 8, 1, 36
"e:\dev\ljs_p1\004_002.js", "JavaScript", 0, 7, 0, 1, 1, 9
"e:\dev\ljs_p1\004_003.js", "JavaScript", 0, 2, 0, 1, 0, 3
"e:\dev\ljs_p1\004_004.js", "JavaScript", 0, 20, 0, 5, 3, 28
"e:\dev\ljs_p1\004_005.js", "JavaScript", 0, 18, 0, 3, 3, 24
"e:\dev\ljs_p1\004_006.js", "JavaScript", 0, 15, 0, 10, 5, 30
"e:\dev\ljs_p1\004_007.js", "JavaScript", 0, 31, 0, 11, 8, 50
"e:\dev\ljs_p1\004_008.js", "JavaScript", 0, 21, 0, 6, 3, 30
"e:\dev\ljs_p1\005_001.js", "JavaScript", 0, 10, 0, 7, 5, 22
"e:\dev\ljs_p1\005_002.js", "JavaScript", 0, 30, 0, 1, 7, 38
"e:\dev\ljs_p1\005_003.js", "JavaScript", 0, 28, 0, 11, 7, 46
"e:\dev\ljs_p1\005_004.js", "JavaScript", 0, 57, 0, 9, 8, 74
"e:\dev\ljs_p1\005_005.js", "JavaScript", 0, 69, 0, 15, 17, 101
"e:\dev\ljs_p1\005_006.js", "JavaScript", 0, 33, 0, 4, 6, 43
"e:\dev\ljs_p1\005_007.js", "JavaScript", 0, 30, 0, 18, 13, 61
"e:\dev\ljs_p1\005_008.js", "JavaScript", 0, 20, 0, 10, 5, 35
"e:\dev\ljs_p1\005_009.js", "JavaScript", 0, 31, 0, 6, 5, 42
"e:\dev\ljs_p1\005_010.js", "JavaScript", 0, 48, 0, 13, 11, 72
"e:\dev\ljs_p1\005_011.js", "JavaScript", 0, 17, 0, 7, 4, 28
"e:\dev\ljs_p1\005_012.js", "JavaScript", 0, 41, 0, 6, 10, 57
"e:\dev\ljs_p1\006_001.js", "JavaScript", 0, 2, 0, 1, 0, 3
"e:\dev\ljs_p1\006_002.js", "JavaScript", 0, 20, 0, 18, 9, 47
"e:\dev\ljs_p1\006_003.js", "JavaScript", 0, 25, 0, 10, 3, 38
"e:\dev\ljs_p1\006_004.js", "JavaScript", 0, 10, 0, 5, 7, 22
"e:\dev\ljs_p1\006_005.js", "JavaScript", 0, 7, 0, 1, 2, 10
"e:\dev\ljs_p1\006_006.js", "JavaScript", 0, 22, 0, 2, 2, 26
"e:\dev\ljs_p1\006_007.js", "JavaScript", 0, 19, 0, 5, 6, 30
"e:\dev\ljs_p1\006_008.js", "JavaScript", 0, 29, 0, 2, 3, 34
"e:\dev\ljs_p1\006_009.js", "JavaScript", 0, 68, 0, 18, 11, 97
"e:\dev\ljs_p1\006_010.js", "JavaScript", 0, 19, 0, 3, 5, 27
"e:\dev\ljs_p1\006_011.js", "JavaScript", 0, 24, 0, 4, 3, 31
"e:\dev\ljs_p1\007_001.js", "JavaScript", 0, 11, 0, 1, 1, 13
"e:\dev\ljs_p1\007_002.js", "JavaScript", 0, 17, 0, 1, 2, 20
"e:\dev\ljs_p1\008_001.js", "JavaScript", 0, 30, 0, 4, 3, 37
"e:\dev\ljs_p1\008_002.js", "JavaScript", 0, 2, 0, 1, 0, 3
"e:\dev\ljs_p1\008_003.js", "JavaScript", 0, 2, 0, 1, 2, 5
"e:\dev\ljs_p1\008_004.js", "JavaScript", 0, 15, 0, 4, 5, 24
"e:\dev\ljs_p1\009_001.js", "JavaScript", 0, 38, 0, 5, 2, 45
"e:\dev\ljs_p1\009_002.js", "JavaScript", 0, 2, 0, 10, 4, 16
"e:\dev\ljs_p1\009_003.js", "JavaScript", 0, 16, 0, 1, 2, 19
"e:\dev\ljs_p1\009_004.js", "JavaScript", 0, 25, 0, 6, 3, 34
"e:\dev\ljs_p1\009_005.js", "JavaScript", 0, 23, 0, 6, 4, 33
"e:\dev\ljs_p1\009_006.js", "JavaScript", 0, 17, 0, 5, 5, 27
"e:\dev\ljs_p1\009_007.js", "JavaScript", 0, 54, 0, 6, 10, 70
"e:\dev\ljs_p1\010_001.js", "JavaScript", 0, 62, 0, 14, 9, 85
"e:\dev\ljs_p1\010_002.js", "JavaScript", 0, 50, 0, 2, 8, 60
"e:\dev\ljs_p1\011_001.js", "JavaScript", 0, 16, 0, 6, 3, 25
"e:\dev\ljs_p1\011_002.js", "JavaScript", 0, 26, 0, 4, 5, 35
"e:\dev\ljs_p1\011_003.js", "JavaScript", 0, 11, 0, 6, 3, 20
"e:\dev\ljs_p1\011_004.js", "JavaScript", 0, 29, 0, 10, 8, 47
"e:\dev\ljs_p1\011_005.js", "JavaScript", 0, 34, 0, 15, 5, 54
